CutOff,Modulus,VTR,Bio,xval,Line
500,0.5 MPa,1.76861343,1.428070269,1500,4500
600,0.5 MPa,1.058922567,0.980717275,0,0.5
600,0.5 MPa,0.890822778,0.835864567,100,0.5
600,0.5 MPa,0.80502534,0.718740963,200,0.5
600,0.5 MPa,0.596116912,0.518337193,300,0.5
600,0.5 MPa,1.149081217,0.897925849,400,0.5
600,0.5 MPa,0.77832678,0.858924988,500,0.5
600,0.5 MPa,1.003957758,0.682320853,600,0.5
600,0.5 MPa,1.227892673,0.883173828,600,1800
600,0.5 MPa,1.192502012,0.828771789,700,2100
600,0.5 MPa,0.2279747,0.274395838,800,2400
600,0.5 MPa,1.068980924,1.023727182,900,2700
600,0.5 MPa,1.020147816,1.193887301,1000,3000
600,0.5 MPa,0.766929038,0.734803487,1100,3300
600,0.5 MPa,1.034728584,0.995180818,1200,3600
600,0.5 MPa,0.94987635,1.168709372,1300,3900
600,0.5 MPa,0.52459956,0.503091704,1400,4200
600,0.5 MPa,1.69402081,1.428070269,1500,4500
700,0.5 MPa,0.729714942,0.980717275,0,0.5
700,0.5 MPa,0.327702408,0.835864567,100,0.5
700,0.5 MPa,0.666102952,0.718740963,200,0.5
700,0.5 MPa,0.08924618,0.518337193,300,0.5
700,0.5 MPa,1.006018497,0.897925849,400,0.5
700,0.5 MPa,0.242644668,0.858924988,500,0.5
700,0.5 MPa,0.70067079,0.682320853,600,0.5
700,0.5 MPa,1.155897946,0.883173828,700,0.5
700,0.5 MPa,0.693710901,0.828771789,700,2100
700,0.5 MPa,0.011407317,0.274395838,800,2400
700,0.5 MPa,0.980471668,1.023727182,900,2700
700,0.5 MPa,0.191341608,1.193887301,1000,3000
700,0.5 MPa,0.596366206,0.734803487,1100,3300
700,0.5 MPa,0.595719208,0.995180818,1200,3600
700,0.5 MPa,0.46490416,1.168709372,1300,3900
700,0.5 MPa,0.237154025,0.503091704,1400,4200
700,0.5 MPa,1.578722389,1.428070269,1500,4500
800,0.5 MPa,0.176569794,0.980717275,0,0.5
